Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role,win_perc_rnd,playerbase
Gnar,Dinka,Top,1,0,14,1.33,0.3077,255.97,6.54,60,1.52,0,-254,19,5,3.8,0,0.052631579,0.0526,Gnar - Top,0,Broad
Graves,Brown Man Darius,Top,1,0,14,2,0.75,372.58,7.21,82,0.71,4,197,1,1,1,0,1,1,Graves - Top,0,Narrow
Hecarim,TheRealPhilip,Top,5,1,14.6,4.7,0.4752,600.58,6,54.6,0.98,7.8,-924.6,12,5,2.4,1,0.416666667,0.4167,Hecarim - Top,100,Medium
Hecarim,Gible,Top,1,1,18,3.25,0.4483,361.76,7.02,79,0.82,9,392,12,5,2.4,1,0.083333333,0.0833,Hecarim - Top,100,Broad
Hecarim,Brown Man Darius,Top,1,1,16,5.67,0.7391,637.75,6.86,77,0.8,1,1380,12,5,2.4,1,0.083333333,0.0833,Hecarim - Top,100,Broad
Hecarim,Dinka,Top,4,0.5,14.25,2.28,0.4054,511.59,6.29,62,0.7,5.5,-640.25,12,5,2.4,0.5,0.333333333,0.3333,Hecarim - Top,50,Medium
Hecarim,PieCakeLord,Top,1,0,12,0.29,0.5,413.71,6.29,66,0.89,0,-1035,12,5,2.4,0,0.083333333,0.0833,Hecarim - Top,0,Broad
Illaoi,TheRealPhilip,Top,1,1,16,4.5,0.6923,1296.28,8.02,89,0.6,2,880,4,2,2,1,0.25,0.25,Illaoi - Top,100,Medium
Illaoi,Quas,Top,3,0.6667,14.67,4.57,0.4667,684.06,7.98,79,0.72,1.67,854,4,2,2,0.6667,0.75,0.75,Illaoi - Top,66.67,Narrow
Irelia,Tenacity,Top,5,1,14,3.42,0.3892,443.12,9.58,88.8,0.74,5,1441.2,16,6,2.666666667,1,0.3125,0.3125,Irelia - Top,100,Medium
Irelia,Niles,Top,3,1,16.67,3.3,0.585,571.74,8.78,80.33,0.87,4.33,1648.33,16,6,2.666666667,1,0.1875,0.1875,Irelia - Top,100,Broad
Irelia,Sunwoojung,Top,4,0.75,14.75,2.82,0.4992,415.68,8.36,67.25,0.79,4.25,308,16,6,2.666666667,0.75,0.25,0.25,Irelia - Top,75,Medium
Irelia,Gible,Top,1,0,15,0.75,0.75,311.99,9.12,83,0.47,0,252,16,6,2.666666667,0,0.0625,0.0625,Irelia - Top,0,Broad
Irelia,Dinka,Top,1,0,15,1.67,0.7143,414.03,8.99,87,0.97,5,3159,16,6,2.666666667,0,0.0625,0.0625,Irelia - Top,0,Broad
Irelia,Aetheres,Top,2,0,14,0.93,0.5577,449.83,7.57,79,0.58,0,66,16,6,2.666666667,0,0.125,0.125,Irelia - Top,0,Broad
Jax,Brown Man Darius,Top,1,1,15,2.75,0.5238,328.74,5.79,55,1.07,0,-1387,11,4,2.75,1,0.090909091,0.0909,Jax - Top,100,Broad
Jax,Dragoon,Top,3,0.6667,15.33,2.8,0.4866,520.71,6.83,45,0.81,3.33,-1250,11,4,2.75,0.6667,0.272727273,0.2727,Jax - Top,66.67,Medium
Jax,Tenacity,Top,2,0.5,16,1.14,0.2917,562.18,8.16,60,0.62,11.5,-840,11,4,2.75,0.5,0.181818182,0.1818,Jax - Top,50,Broad
