Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Kindred,Shorterace,Jung,3,0.6667,14,3.7,0.5868,308.22,5.6,3,1.5,13.33,-343.33,100,21,4.761904762,0.6667,0.03,0.03,Kindred - Jung
Kindred,Kitzuo,Jung,6,0.6667,14.33,3.68,0.7003,590.83,5.92,3.67,1.51,20.33,-676,100,21,4.761904762,0.6667,0.06,0.06,Kindred - Jung
Kindred,Avi,Jung,3,0.6667,15,3,0.7039,539.91,6.13,4.33,1.24,26,139,100,21,4.761904762,0.6667,0.03,0.03,Kindred - Jung
Kindred,Hunter,Jung,12,0.5833,13.83,2.93,0.5245,401.46,6.14,3.83,1.36,13.33,176.5,100,21,4.761904762,0.5833,0.12,0.12,Kindred - Jung
Kindred,OddOrange,Jung,8,0.5,14.88,2.64,0.6889,367.97,5.74,2.13,1.47,16,-166.38,100,21,4.761904762,0.5,0.08,0.08,Kindred - Jung
Kindred,eXyu,Jung,2,0.5,13.5,4.75,0.625,385.41,6.35,4,1.52,16,699,100,21,4.761904762,0.5,0.02,0.02,Kindred - Jung
Kindred,Panda,Jung,6,0.3333,14.83,2.11,0.6667,446.91,6.11,4.33,1.48,21.17,604,100,21,4.761904762,0.3333,0.06,0.06,Kindred - Jung
Kindred,Jozyy,Jung,4,0.25,14.25,1.9,0.7685,341.26,5.67,2.25,1.23,13.25,-747.75,100,21,4.761904762,0.25,0.04,0.04,Kindred - Jung
Kindred,FrostForest,Jung,4,0.25,12.75,1.53,0.4723,315.92,5.17,6,1.34,16.25,-402.5,100,21,4.761904762,0.25,0.04,0.04,Kindred - Jung
Kindred,Rosethorn,Jung,9,0.2222,13.44,1.79,0.5615,361.54,5.4,6.22,1.18,12.44,-627.67,100,21,4.761904762,0.2222,0.09,0.09,Kindred - Jung
Kindred,Zile,Jung,6,0.1667,15,2.42,0.7555,470.46,5.68,3.17,1.17,15.83,-93.5,100,21,4.761904762,0.1667,0.06,0.06,Kindred - Jung
Kindred,Nxi,Jung,1,0,14,1.25,0.5556,272.82,5.93,7,2.03,12,389,100,21,4.761904762,0,0.01,0.01,Kindred - Jung
Kindred,Matty,Jung,1,0,10,0.86,0.5,355.1,4.25,7,0.42,2,-2788,100,21,4.761904762,0,0.01,0.01,Kindred - Jung
Kindred,Jason Jg,Jung,3,0,10.67,1.09,0.5602,253.59,4.93,6,0.97,8.33,-1981.33,100,21,4.761904762,0,0.03,0.03,Kindred - Jung
Kindred,Infectrix,Jung,2,0,14.5,1.21,0.494,323.35,5.19,5,1.05,24,650.5,100,21,4.761904762,0,0.02,0.02,Kindred - Jung
