"playerID","Kill","Death","Assist","KDA"
"Kenvi",5.51612903225806,3.25806451612903,8.93548387096774,4.43564356435644
"King Kongzhi",1.75,4,2.75,1.125
"Kitzuo",5,4.0327868852459,8.18032786885246,3.26829268292683
"KP Freeze",5.95714285714286,3.65714285714286,6.37142857142857,3.37109375
"ks2",1.66666666666667,5.55555555555556,7.88888888888889,1.72
"Lawrence",3.975,5.025,5.375,1.86069651741294
"Libero Jy",1.78125,3.03125,12.125,4.58762886597938
"LilSwidB",0.375,5,6,1.275
"Lobozz",5.22950819672131,3.45901639344262,6.60655737704918,3.4218009478673
"Lutano",1.57142857142857,3.25,10.2857142857143,3.64835164835165
"MasterOfShuriken",2.25,4.125,3.25,1.33333333333333
"Mateusz",4.22222222222222,3.77777777777778,6.22222222222222,2.76470588235294
"Matty",4.8,3.53333333333333,6.7,3.25471698113208
"Me Llamo Big D",2.75,3.75,3.5,1.66666666666667
"Meech",7.75714285714286,3.54285714285714,6.74285714285714,4.09274193548387
"MikeYeung",4.73170731707317,3.19512195121951,8.60975609756098,4.17557251908397
"Mist",1.12068965517241,3.68965517241379,10.3793103448276,3.11682242990654
"Nightstar",3.125,3.75,2.625,1.53333333333333
"Niles",3.81944444444444,4.06944444444444,6.93055555555556,2.64163822525597
"Nxi",8.75,2.375,7.125,6.68421052631579
"OddOrange",3.52459016393443,3.34426229508197,8.24590163934426,3.51960784313726
"Orca",1.36666666666667,3.73333333333333,9.6,2.9375
"Panda",3.16666666666667,4.75,8.44444444444444,2.44444444444444
"PapaChau",1.29032258064516,4.67741935483871,9.2258064516129,2.24827586206897
"PieCakeLord",4.60655737704918,3.9672131147541,6.24590163934426,2.73553719008264
"PK1",5.125,2.375,4.625,4.10526315789474
"Pockus",1.02,3.38,10.36,3.36686390532544
"Quas",4.14754098360656,3.21311475409836,7.0983606557377,3.5
"Rapidx",4.5,4.4,6.15,2.42045454545455
"Robbybob",3.87931034482759,3.25862068965517,6.5,3.18518518518519
"Rodov",3.5609756097561,3.29268292682927,6.29268292682927,2.99259259259259
"Rosethorn",2.93478260869565,5.04347826086957,7.02173913043478,1.97413793103448
"Rovex",2.13513513513514,4.37837837837838,9.05405405405405,2.55555555555556
"Saint Daniel",0.98,3.96,9.04,2.53030303030303
"Seangravesgod",4.84375,3.53125,7.78125,3.57522123893805
"Seoksang",3.75,3.71875,8.625,3.32773109243697
"Seranok",4.16666666666667,2.66666666666667,6.16666666666667,3.875
"Shady",2.05555555555556,2.73611111111111,10.9444444444444,4.75126903553299
"Shamwow",2.66666666666667,3,7.33333333333333,3.33333333333333
"Shorterace",2.97777777777778,3.66666666666667,9.02222222222222,3.27272727272727
"Shoryu",5.39024390243902,2.73170731707317,6.75609756097561,4.44642857142857
"Siddywiddy",4.575,4.625,7.425,2.59459459459459
"Slooshi",3.6,4.6,4.4,1.73913043478261
"Spawn",6,3.475,6.1,3.48201438848921
"SpecialKay",1.11111111111111,3.77777777777778,10,2.94117647058824
"Spider Queen",4.11538461538461,3.05769230769231,5.28846153846154,3.07547169811321
"Spirax",4.65384615384615,3.42307692307692,6,3.1123595505618
"Srkenji",1,4.66666666666667,10.6666666666667,2.5
"Srrty",2.83333333333333,7.5,3.5,0.844444444444445
"Str1fe",3.77777777777778,4.11111111111111,6.22222222222222,2.43243243243243
"Strompest",4.36538461538461,4.76923076923077,5.28846153846154,2.0241935483871
"Sudzzi",4.19444444444444,3.36111111111111,6.58333333333333,3.20661157024793
"Sunwoojung",3.65625,3.65625,5.78125,2.58119658119658
"Swiftah",5.26666666666667,3.7,5.93333333333333,3.02702702702703
"T21 Kedeck",2.63333333333333,4.7,6.1,1.85815602836879
"Tempos",1.25,3.25,4,1.61538461538462
"Tenacity",3.83870967741935,2.93548387096774,5.45161290322581,3.16483516483516
