Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Ezreal,Yeon,ADC,11,0.8182,15.18,4.7,0.5706,739.54,7.84,76.45,1.08,3.45,27.45,207,24,8.625,0.8182,0.053140097,0.0531,Ezreal - ADC
Ezreal,PK1,ADC,3,0.6667,14.67,6.4,0.6821,823.98,8.99,84,0.81,7,709.33,207,24,8.625,0.6667,0.014492754,0.0145,Ezreal - ADC
Ezreal,Lobozz,ADC,6,0.6667,13,2.63,0.434,538.08,7.61,71.5,0.53,4.33,-1031.17,207,24,8.625,0.6667,0.028985507,0.029,Ezreal - ADC
Ezreal,Swiftah,ADC,10,0.6,13.6,4.88,0.6166,629.75,8.42,76.1,0.94,2.5,213.8,207,24,8.625,0.6,0.048309179,0.0483,Ezreal - ADC
Ezreal,TiaxWillRuleAll,ADC,12,0.5833,15.58,4.73,0.6562,774.71,8.17,77.83,0.91,5.17,309.33,207,24,8.625,0.5833,0.057971014,0.058,Ezreal - ADC
Ezreal,Spawn,ADC,19,0.5789,14.26,3.93,0.6214,799.12,7.62,77.79,0.92,1.32,111.05,207,24,8.625,0.5789,0.09178744,0.0918,Ezreal - ADC
Ezreal,Rapidx,ADC,9,0.5556,15.56,2.49,0.5596,777.04,8.21,78.78,0.76,5,425.22,207,24,8.625,0.5556,0.043478261,0.0435,Ezreal - ADC
Ezreal,EvanRL,ADC,9,0.5556,14.22,4,0.6618,712.14,8.28,78.56,0.82,1.56,-128.78,207,24,8.625,0.5556,0.043478261,0.0435,Ezreal - ADC
Ezreal,Disconnector,ADC,2,0.5,13.5,1.56,0.4674,667.29,7.75,81.5,0.83,1,-288.5,207,24,8.625,0.5,0.009661836,0.0097,Ezreal - ADC
Ezreal,Asta,ADC,4,0.5,14.75,3.07,0.6707,881.21,8.68,85.25,0.96,2.25,139,207,24,8.625,0.5,0.019323671,0.0193,Ezreal - ADC
Ezreal,Acilion,ADC,16,0.5,14.94,3.9,0.5654,649.63,8.72,77.19,0.92,0.69,-213.44,207,24,8.625,0.5,0.077294686,0.0773,Ezreal - ADC
Ezreal,Vilas,ADC,3,0.3333,14,2.9,0.5166,586.33,7.87,64,0.83,3.33,356.33,207,24,8.625,0.3333,0.014492754,0.0145,Ezreal - ADC
Ezreal,Str1fe,ADC,3,0.3333,14,3.3,0.554,620.38,7.5,81.33,0.85,0,591.67,207,24,8.625,0.3333,0.014492754,0.0145,Ezreal - ADC
Ezreal,DanielRMC,ADC,3,0.3333,14.33,3.89,0.6214,736.85,7.97,80.33,0.79,6.67,-60.33,207,24,8.625,0.3333,0.014492754,0.0145,Ezreal - ADC
Ezreal,Vex,ADC,7,0.2857,15.71,2.46,0.5552,678.67,8.32,77.14,0.69,4.57,50.14,207,24,8.625,0.2857,0.033816425,0.0338,Ezreal - ADC
Ezreal,Dog2,ADC,7,0.2857,13.29,3.24,0.6061,641.6,8.39,76.43,0.78,1.14,-172.29,207,24,8.625,0.2857,0.033816425,0.0338,Ezreal - ADC
