Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Gangplank,Rodov,Top,1,1,14,4.5,0.5294,655.95,7.4,77,0.57,0,-241,77,18,4.277777778,1,0.012987013,0.013,Gangplank - Top
Gangplank,PieCakeLord,Top,3,1,15,10,0.6977,643.84,7.97,80,0.75,0.33,625,77,18,4.277777778,1,0.038961039,0.039,Gangplank - Top
Gangplank,Eastan,Top,1,1,15,3.75,0.4167,676.4,6.84,66,0.69,0,2636,77,18,4.277777778,1,0.012987013,0.013,Gangplank - Top
Gangplank,Brown Man Darius,Top,2,1,17,7,0.6239,622.13,6.67,55,1.04,2,-1036,77,18,4.277777778,1,0.025974026,0.026,Gangplank - Top
Gangplank,Niles,Top,21,0.7619,15.9,3.18,0.5675,656.98,7.79,76.24,0.85,3.19,521,77,18,4.277777778,0.7619,0.272727273,0.2727,Gangplank - Top
Gangplank,Tenacity,Top,4,0.75,16.75,2.69,0.4729,694.24,8.01,70.25,0.74,9,537.5,77,18,4.277777778,0.75,0.051948052,0.0519,Gangplank - Top
Gangplank,Lawrence,Top,3,0.6667,16,3.8,0.574,701.87,7.94,62.33,0.71,0,-733.33,77,18,4.277777778,0.6667,0.038961039,0.039,Gangplank - Top
Gangplank,Gible,Top,4,0.5,16,3.06,0.595,638.02,6.72,61.25,0.86,1,-732,77,18,4.277777778,0.5,0.051948052,0.0519,Gangplank - Top
Gangplank,FallenBandit,Top,2,0.5,15.5,1.27,0.3321,450.68,6.98,59.5,0.79,0,-1236.5,77,18,4.277777778,0.5,0.025974026,0.026,Gangplank - Top
Gangplank,Engo,Top,2,0.5,16.5,2.55,0.5917,484.54,6.98,57,1.14,0,-1526.5,77,18,4.277777778,0.5,0.025974026,0.026,Gangplank - Top
Gangplank,Dragoon,Top,6,0.5,15.67,4.57,0.5595,598.67,7.16,62.33,0.72,1.67,151.67,77,18,4.277777778,0.5,0.077922078,0.0779,Gangplank - Top
Gangplank,Quas,Top,14,0.3571,15.07,2.58,0.5971,678.33,7.35,71.71,0.51,1,284.43,77,18,4.277777778,0.3571,0.181818182,0.1818,Gangplank - Top
Gangplank,Aetheres,Top,6,0.3333,15.83,2.26,0.6042,714.37,7.21,61,0.99,3.5,209.83,77,18,4.277777778,0.3333,0.077922078,0.0779,Gangplank - Top
Gangplank,Mateusz,Top,1,0,14,0.6,0.3333,516.99,7.57,87,0.65,0,-1629,77,18,4.277777778,0,0.012987013,0.013,Gangplank - Top
Gangplank,InchesEvan,Top,1,0,16,1.29,0.75,557.21,5.93,51,0.84,1,-906,77,18,4.277777778,0,0.012987013,0.013,Gangplank - Top
